symbol,exchange,country,market_cap,headquarters_city,headquarters_state,sector,industry
ITI,NASDAQ,US,0.223246949149425,Santa Ana,California,Electronic Technology,Computer Communications
IMMR,NASDAQ,US,0.223085189999998,San Francisco,California,Electronic Technology,Computer Peripherals
UTI,NYSE,US,0.222879760649124,Phoenix,Arizona,Commercial Services,Miscellaneous Commercial Services
TWCBU,NASDAQ,US,0.22266577827,San Francisco,California,Finance,Financial Conglomerates
CMCM,NYSE,CN,0.222576279,Beijing,Beijing,Technology Services,Packaged Software
FLGC,NASDAQ,CA,0.222305902,Toronto,Ontario,Distribution Services,Medical Distributors
GLSPU,NASDAQ,US,0.2221317,Claymont,Delaware,Finance,Financial Conglomerates
CLAQU,NASDAQ,US,0.22209375,New York,New York,Finance,Financial Conglomerates
PTMN,NASDAQ,US,0.2220285243,New York,New York,Finance,Investment Managers
DRIO,NASDAQ,US,0.221721242,New York,New York,Health Technology,Medical Specialties
GCACU,NASDAQ,US,0.22153959375,New York,New York,Finance,Financial Conglomerates
DUNEU,NASDAQ,US,0.22123125,West Palm Beach,Florida,Finance,Financial Conglomerates
NKSH,NASDAQ,US,0.2210115492,Blacksburg,Virginia,Finance,Major Banks
ASPS,NASDAQ,LU,0.220967352045937,Luxembourg,Luxembourg,Finance,Finance/Rental/Leasing
ICBK,NASDAQ,US,0.220862188759297,Manitowoc,Wisconsin,Finance,Regional Banks
SWSS,NASDAQ,US,0.2206438934,New York,New York,Finance,Financial Conglomerates
BRIVU,NASDAQ,US,0.220516875,New York,New York,Finance,Financial Conglomerates
LYTS,NASDAQ,US,0.220496433125932,Cincinnati,Ohio,Producer Manufacturing,Building Products
ISTR,NASDAQ,US,0.22046627407657302,Baton Rouge,Louisiana,Finance,Regional Banks
GNLN,NASDAQ,US,0.220443326542986,Boca Raton,Florida,Distribution Services,Wholesale Distributors
CVLY,NASDAQ,US,0.21990585299999602,York,Pennsylvania,Finance,Regional Banks
MEACU,NASDAQ,US,0.21967698853099998,Houston,Texas,Finance,Financial Conglomerates
GREE,NASDAQ,US,0.2196080651,Dresden,New York,Technology Services,Packaged Software
MRCC,NASDAQ,US,0.21931321908895499,Chicago,Illinois,Finance,Investment Managers
MEAC,NASDAQ,US,0.21923336600408802,Houston,Texas,Finance,Financial Conglomerates
RDHL,NASDAQ,IL,0.219116862846,Tel Aviv,Tel Aviv,Health Technology,Pharmaceuticals: Major
OXUSU,NASDAQ,KZ,0.21911643922243898,Almaty,Almaty,Finance,Financial Conglomerates
SAMG,NASDAQ,US,0.21908631024852898,New York,New York,Finance,Investment Managers
WEYS,NASDAQ,US,0.219043033,Glendale,Wisconsin,Distribution Services,Wholesale Distributors
VMD,NASDAQ,US,0.218923299,Lafayette,Louisiana,Health Services,Hospital/Nursing Management
NXTP,NASDAQ,US,0.218796012396695,Sunrise,Florida,Commercial Services,Advertising/Marketing Services
LCNB,NASDAQ,US,0.218757,Lebanon,Ohio,Finance,Regional Banks
TVAC,NASDAQ,US,0.21864375,Valencia,California,Finance,Financial Conglomerates
ASAX,NASDAQ,US,0.218612,Key Biscayne,Florida,Finance,Financial Conglomerates
OXUS,NASDAQ,KZ,0.218522239938777,Almaty,Almaty,Finance,Financial Conglomerates
CRVS,NASDAQ,US,0.21846918,Burlingame,California,Health Technology,Pharmaceuticals: Major
CHMG,NASDAQ,US,0.21834159690000002,Elmira,New York,Finance,Regional Banks
TWCB,NASDAQ,US,0.218284362855,San Francisco,California,Finance,Financial Conglomerates
VTAQU,NASDAQ,US,0.2182125,Greenwich,Connecticut,Finance,Financial Conglomerates
HURC,NASDAQ,US,0.2181766005,Indianapolis,Indiana,Producer Manufacturing,Industrial Machinery
PHICU,NASDAQ,US,0.21778125,New York,New York,Finance,Financial Conglomerates
TCDA,NASDAQ,US,0.217347852807513,South San Francisco,California,Health Technology,Pharmaceuticals: Major
AKU,NASDAQ,US,0.21722588,Plantation,Florida,Health Services,Medical/Nursing Services
INKAU,NASDAQ,US,0.217134375,Berkeley,California,Finance,Financial Conglomerates
PGRWU,NASDAQ,US,0.217125,Boston,Massachusetts,Finance,Financial Conglomerates
RICO,NASDAQ,KY,0.21695428514457,George Town,George Town,Finance,Financial Conglomerates
GLSPT,NASDAQ,US,0.2169153,Claymont,Delaware,Finance,Financial Conglomerates
IMUX,NASDAQ,US,0.216557865828224,New York,New York,Health Technology,Pharmaceuticals: Major
KSICU,NASDAQ,US,0.2163721875,New York,New York,Finance,Financial Conglomerates
TUEM,NASDAQ,US,0.21605858634874,Dallas,Texas,Retail Trade,Specialty Stores
LNFA,NYSE,US,0.21584062599999898,Chicago,Illinois,Finance,Financial Conglomerates
BRPMU,NASDAQ,US,0.215625,New York,New York,Finance,Financial Conglomerates
SHBI,NASDAQ,US,0.21555002,Easton,Maryland,Finance,Regional Banks
SPTKU,NASDAQ,US,0.2153015625,Tulsa,Oklahoma,Finance,Financial Conglomerates
GAPA,NYSE,US,0.21525,Newport,Rhode Island,Finance,Financial Conglomerates
BRIV,NASDAQ,US,0.215197875,New York,New York,Finance,Financial Conglomerates
RICOU,NASDAQ,KY,0.215065010085599,George Town,George Town,Finance,Financial Conglomerates
CENQU,NASDAQ,US,0.214916473900102,Houston,Texas,Finance,Financial Conglomerates
VTAQR,NASDAQ,US,0.214870316,Greenwich,Connecticut,Finance,Financial Conglomerates
CENQ,NASDAQ,US,0.214694712494941,Houston,Texas,Finance,Financial Conglomerates
ALZN,NASDAQ,US,0.214613113,Tampa,Florida,Health Technology,Pharmaceuticals: Major
PMVC,NYSE,US,0.21459375,Palm Beach,Florida,Finance,Financial Conglomerates
JFIN,NASDAQ,CN,0.214479252984964,Shanghai,Shanghai,Finance,Finance/Rental/Leasing
ATLO,NASDAQ,US,0.2144758525,Ames,Iowa,Finance,Regional Banks
VTAQ,NASDAQ,US,0.214438849502004,Greenwich,Connecticut,Finance,Financial Conglomerates
DSACU,NASDAQ,HK,0.214362392679244,Hong Kong,,Finance,Financial Conglomerates
TCFC,NASDAQ,US,0.2142746592,Waldorf,Maryland,Finance,Regional Banks
CLAQ,NASDAQ,US,0.214115631000004,New York,New York,Finance,Financial Conglomerates
CLAQR,NASDAQ,US,0.214115631,New York,New York,Finance,Financial Conglomerates
GCAC,NASDAQ,US,0.2140078125,New York,New York,Finance,Financial Conglomerates
DSAC,NASDAQ,HK,0.21393749199999898,Hong Kong,,Finance,Financial Conglomerates
BLSA,NASDAQ,US,0.2139294375,Boston,Massachusetts,Finance,Financial Conglomerates
LVO,NASDAQ,US,0.213881577,Beverly Hills,California,Commercial Services,Commercial Printing/Forms
DUNE,NASDAQ,US,0.212821875,West Palm Beach,Florida,Finance,Financial Conglomerates
KSI,NASDAQ,US,0.212515621000003,New York,New York,Finance,Financial Conglomerates
PGRW,NASDAQ,US,0.21234825,Boston,Massachusetts,Finance,Financial Conglomerates
GALT,NASDAQ,US,0.2122582,Norcross,Georgia,Health Technology,Biotechnology
SLGL,NASDAQ,IL,0.21186036,Ness Ziona,Tel Aviv,Health Technology,Pharmaceuticals: Major
INKA,NASDAQ,US,0.21174375,Berkeley,California,Finance,Financial Conglomerates
NWFL,NASDAQ,US,0.211572325386296,Honesdale,Pennsylvania,Finance,Regional Banks
PHIC,NASDAQ,US,0.21152812900407902,New York,New York,Finance,Financial Conglomerates
CMCT,NASDAQ,US,0.211492436096886,Dallas,Texas,Finance,Real Estate Investment Trusts
FLXS,NASDAQ,US,0.21148386,Dubuque,Iowa,Consumer Durables,Home Furnishings
BSVN,NASDAQ,US,0.2114222496,Oklahoma City,Oklahoma,Finance,Regional Banks
BCEL,NASDAQ,US,0.21140514693,San Carlos,California,Health Technology,Biotechnology
NXTC,NASDAQ,US,0.21122874,Beltsville,Maryland,Health Technology,Biotechnology
BQ,NYSE,CN,0.21073363572151801,Shanghai,Shanghai,Retail Trade,Internet Retail
IMNM,NASDAQ,US,0.210665864344,Exton,Pennsylvania,Health Technology,Biotechnology
BRPM,NASDAQ,US,0.210665626001024,New York,New York,Finance,Financial Conglomerates
NGC,NYSE,US,0.210604568000002,Kansas City,Missouri,Finance,Financial Conglomerates
NCTY,NASDAQ,CN,0.210446784477857,Shanghai,Shanghai,Technology Services,Packaged Software
MBIO,NASDAQ,US,0.210225704199134,Worcester,Massachusetts,Health Technology,Pharmaceuticals: Major
ADVM,NASDAQ,US,0.209989363365853,Redwood City,California,Health Technology,Biotechnology
CMCTP,NASDAQ,US,0.209856583000012,Dallas,Texas,Finance,Real Estate Investment Trusts
CBAT,NASDAQ,CN,0.209534544,Dalian,Liaoning,Producer Manufacturing,Electrical Products
SPTK,NASDAQ,US,0.2092640625,Tulsa,Oklahoma,Finance,Financial Conglomerates
GFOR,NYSE,US,0.209165775,The Woodlands,Texas,Finance,Financial Conglomerates
GRTX,NASDAQ,US,0.20910421247174502,Malvern,Pennsylvania,Health Technology,Pharmaceuticals: Major
TGA,NASDAQ,CA,0.20892096,Calgary,Alberta,Energy Minerals,Oil & Gas Production
MFIN,NASDAQ,US,0.208764794,New York,New York,Finance,Investment Managers
NNBR,NASDAQ,US,0.20828237592468699,Charlotte,North Carolina,Producer Manufacturing,Metal Fabrication
PINE,NYSE,US,0.208024674655298,Daytona Beach,Florida,Finance,Real Estate Development
OXSQ,NASDAQ,US,0.207926313184212,Greenwich,Connecticut,Finance,Investment Managers
OXSQL,NASDAQ,US,0.207676520567135,Greenwich,Connecticut,Finance,Investment Managers
OXSQZ,NASDAQ,US,0.207673246103158,Greenwich,Connecticut,Finance,Investment Managers
HBB,NYSE,US,0.20761012675,Glen Allen,Virginia,Consumer Durables,Electronics/Appliances
OXSQG,NASDAQ,US,0.206606280004762,Greenwich,Connecticut,Finance,Investment Managers
WNEB,NASDAQ,US,0.206548711,Westfield,Massachusetts,Finance,Savings Banks
VWTR,NASDAQ,US,0.206506442082386,Carson City,Nevada,Producer Manufacturing,Industrial Machinery
HGLB,NYSE,US,0.206449556469411,Dallas,Texas,Miscellaneous,Investment Trusts/Mutual Funds
VECT,NASDAQ,CH,0.20578829013179498,Basel,Basel-Stadt (Basle Town),Health Technology,Pharmaceuticals: Major
AJXA,NYSE,US,0.205472966994837,Tigard,Oregon,Finance,Investment Managers
BPRN,NASDAQ,US,0.20532388513038302,Princeton,New Jersey,Finance,Regional Banks
IPLDP,NASDAQ,US,0.20514397195169898,Cedar Rapids,Iowa,Utilities,Electric Utilities
FSFG,NASDAQ,US,0.2050399442,Jeffersonville,Indiana,Finance,Regional Banks
LRMR,NASDAQ,US,0.20367075,Bala Cynwyd,Pennsylvania,Health Technology,Biotechnology
APRN,NYSE,US,0.202743265718554,New York,New York,Retail Trade,Specialty Stores
RNERU,NASDAQ,US,0.202569696,New York,New York,Finance,Financial Conglomerates
SGAMU,NASDAQ,US,0.2021484375,New York,New York,Finance,Financial Conglomerates
EDAP,NASDAQ,FR,0.20207758416,Vaulx-en-Velin,Auvergne-Rhone-Alpes,Health Technology,Biotechnology
FGBIP,NASDAQ,US,0.201893902121839,Hammond,Louisiana,Finance,Regional Banks
BDSX,NASDAQ,US,0.20174038538544198,Boulder,Colorado,Health Services,Medical/Nursing Services
BSAQ,NYSE,HK,0.201337493999996,Hong Kong,,Finance,Financial Conglomerates
HSAQ,NASDAQ,US,0.20112575,New York,New York,Finance,Financial Conglomerates
BRAG,NASDAQ,CA,0.20099609376,Toronto,Ontario,Technology Services,Packaged Software
JAQCU,NASDAQ,US,0.200700051575379,Hobe Sound,Florida,Finance,Financial Conglomerates
NTZ,NYSE,IT,0.200652451126268,Santeramo in Colle,Bari,Consumer Durables,Home Furnishings
JAQC,NASDAQ,US,0.20039153320949,Hobe Sound,Florida,Finance,Financial Conglomerates
MLP,NYSE,US,0.200096253,Lahaina,Hawaii,Finance,Real Estate Development
ONCT,NASDAQ,US,0.200010252808565,San Diego,California,Health Technology,Pharmaceuticals: Major
FHLTU,NASDAQ,US,0.2,Dover,Delaware,Finance,Financial Conglomerates
QIPT,NASDAQ,US,0.19993022,Wilder,Kentucky,Health Services,Services to the Health Industry
XGN,NASDAQ,US,0.199811052,Vista,California,Health Services,Medical/Nursing Services
ESEA,NASDAQ,GR,0.199673335623365,Athens,Attica,Transportation,Marine Shipping
DBTX,NASDAQ,US,0.19918667782002403,Boston,Massachusetts,Health Technology,Biotechnology
SNCR,NASDAQ,US,0.199136569793722,Bridgewater,New Jersey,Technology Services,Internet Software/Services
MITT,NYSE,US,0.199056550126797,New York,New York,Finance,Real Estate Investment Trusts
TNXP,NASDAQ,US,0.19867719204923098,Chatham,New Jersey,Health Technology,Pharmaceuticals: Other
THCAU,NASDAQ,US,0.19817376,New York,New York,Finance,Financial Conglomerates
FGBI,NASDAQ,US,0.198057578225517,Hammond,Louisiana,Finance,Regional Banks
SNCRL,NASDAQ,US,0.197769611675184,Bridgewater,New Jersey,Technology Services,Internet Software/Services
OBT,NASDAQ,US,0.197251774623075,Middletown,New York,Finance,Regional Banks
TLMD,NASDAQ,US,0.19722458,Reston,Virginia,Technology Services,Packaged Software
ALPAU,NASDAQ,US,0.1968843,New York,New York,Finance,Financial Conglomerates
SPOK,NASDAQ,US,0.196619743064673,Springfield,Virginia,Communications,Wireless Telecommunications
THCA,NASDAQ,US,0.196425168,New York,New York,Finance,Financial Conglomerates
TREC,NYSE,US,0.196374951607359,Sugar Land,Texas,Energy Minerals,Oil Refining/Marketing
LTRX,NASDAQ,US,0.196313695,Irvine,California,Distribution Services,Electronics Distributors
ARL,NYSE,US,0.195924279857145,Dallas,Texas,Finance,Real Estate Development
NBEV,NASDAQ,US,0.19560689761151098,Denver,Colorado,Consumer Non-Durables,Beverages: Alcoholic
GTBP,NASDAQ,US,0.195390902,Beverly Hills,California,Health Technology,Pharmaceuticals: Other
BCML,NASDAQ,US,0.195261945429798,Walnut Creek,California,Finance,Regional Banks
APTO,NASDAQ,CA,0.194797653,Toronto,Ontario,Health Technology,Biotechnology
NH,NASDAQ,US,0.19469645,Culver City,California,Technology Services,Data Processing Services
BLNGU,NASDAQ,US,0.193791875,Philadelphia,Pennsylvania,Finance,Financial Conglomerates
RMBI,NASDAQ,US,0.192861954,Richmond,Indiana,Finance,Major Banks
KVHI,NASDAQ,US,0.192802611999997,Middletown,Rhode Island,Electronic Technology,Telecommunications Equipment
TAST,NASDAQ,US,0.192788496085789,Syracuse,New York,Consumer Services,Restaurants
HZN,NYSE,US,0.192562049,Plymouth,Michigan,Consumer Durables,Automotive Aftermarket
TRVN,NASDAQ,US,0.19247553,Chesterbrook,Pennsylvania,Health Technology,Biotechnology
ALPA,NASDAQ,US,0.192337775,New York,New York,Finance,Financial Conglomerates
HRTG,NYSE,US,0.19212943321888598,Clearwater,Florida,Finance,Property/Casualty Insurance
OEG,NASDAQ,US,0.191877050340424,Houston,Texas,Producer Manufacturing,Electrical Products
ARYD,NASDAQ,US,0.191673153943118,New York,New York,Finance,Financial Conglomerates
APMIU,NASDAQ,US,0.19119375,New York,New York,Finance,Financial Conglomerates
TEAF,NYSE,US,0.19103435835010402,Leawood,Kansas,Miscellaneous,Investment Trusts/Mutual Funds
VABK,NASDAQ,US,0.19103058935800002,Charlottesville,Virginia,Finance,Regional Banks
MITAU,NASDAQ,US,0.191000625,New York,New York,Finance,Financial Conglomerates
ESSCU,NASDAQ,US,0.19084373,Burlington,Massachusetts,Finance,Financial Conglomerates
ATAQ,NYSE,US,0.189793128006147,New York,New York,Finance,Financial Conglomerates
FRSX,NASDAQ,IL,0.18967088104316498,Ness Ziona,HaMerkaz,Finance,Real Estate Development
OCAXU,NASDAQ,US,0.18949125,New York,New York,Finance,Financial Conglomerates
WMPN,NASDAQ,US,0.18887397,Bristol,Pennsylvania,Finance,Savings Banks
BLNG,NASDAQ,US,0.188738138985595,Philadelphia,Pennsylvania,Finance,Financial Conglomerates
RACB,NASDAQ,US,0.188699522675506,Las Vegas,Nevada,Finance,Financial Conglomerates
EGY,NYSE,US,0.188644022,Houston,Texas,Energy Minerals,Oil & Gas Production
ABGI,NASDAQ,US,0.1884923625,New York,New York,Finance,Financial Conglomerates
ARYE,NASDAQ,US,0.18841143,New York,New York,Finance,Financial Conglomerates
EUSGU,NASDAQ,US,0.1884004375,Greenwich,Connecticut,Finance,Financial Conglomerates
GNSS,NASDAQ,US,0.187577499,San Diego,California,Consumer Durables,Electronics/Appliances
APMI,NASDAQ,US,0.1874278125,New York,New York,Finance,Financial Conglomerates
XNET,NASDAQ,CN,0.18742526936,Shenzhen,Guangdong,Technology Services,Information Technology Services
CLBR,NYSE,US,0.18733125,New York,New York,Finance,Financial Conglomerates
MITA,NASDAQ,US,0.18733125,New York,New York,Finance,Financial Conglomerates
TELA,NASDAQ,US,0.187268974,Malvern,Pennsylvania,Health Technology,Medical Specialties
ESSCR,NASDAQ,US,0.186916845639302,Burlington,Massachusetts,Finance,Financial Conglomerates
BNNRU,NASDAQ,US,0.1865625,Lehi,Utah,Finance,Financial Conglomerates
COFS,NASDAQ,US,0.186515889665369,Sparta,Michigan,Finance,Regional Banks
TOUR,NASDAQ,CN,0.186479388140243,Nanjing,Jiangsu,Consumer Services,Other Consumer Services
CLOEU,NASDAQ,US,0.1864599421,Miami,Florida,Finance,Financial Conglomerates
AMCIU,NASDAQ,US,0.186375,Greenwich,Connecticut,Finance,Financial Conglomerates
USDP,NYSE,US,0.186219703826089,Houston,Texas,Industrial Services,Oil & Gas Pipelines
RGCO,NASDAQ,US,0.18602791272,Roanoke,Virginia,Utilities,Gas Distributors
ACKIU,NASDAQ,US,0.18586887,Claymont,Delaware,Finance,Financial Conglomerates
CRMD,NASDAQ,US,0.185861816,Berkeley Heights,New Jersey,Health Technology,Medical Specialties
JG,NASDAQ,CN,0.18572303047742,Shenzhen,Guangdong,Technology Services,Data Processing Services
OCAX,NASDAQ,US,0.18556687600100402,New York,New York,Finance,Financial Conglomerates
SYBX,NASDAQ,US,0.18527661932234402,Cambridge,Massachusetts,Health Technology,Biotechnology
MNSB,NASDAQ,US,0.18510576186489,Fairfax,Virginia,Finance,Regional Banks
LVTX,NASDAQ,NL,0.185068353608573,Utrecht,Noord-Brabant,Health Technology,Biotechnology
PHAS,NASDAQ,US,0.184963571182794,Malvern,Pennsylvania,Health Technology,Pharmaceuticals: Major
OSG,NYSE,US,0.184751332353489,Tampa,Florida,Transportation,Marine Shipping
ENZ,NYSE,US,0.184677558,New York,New York,Health Technology,Biotechnology
CLVR,NASDAQ,US,0.18455815749133,New York,New York,Health Technology,Pharmaceuticals: Other
MNSBP,NASDAQ,US,0.184413480432816,Fairfax,Virginia,Finance,Regional Banks
CFFI,NASDAQ,US,0.184294224,Toano,Virginia,Finance,Regional Banks
PLBC,NASDAQ,US,0.1840477194,Reno,Nevada,Finance,Regional Banks
RAMMU,NASDAQ,KY,0.18328125,West Bay,West Bay,Finance,Financial Conglomerates
AAOI,NASDAQ,US,0.18320445,Sugar Land,Texas,Electronic Technology,Computer Communications
LINC,NASDAQ,US,0.183141238,Parsippany,New Jersey,Commercial Services,Miscellaneous Commercial Services
UIHC,NASDAQ,US,0.182764845422534,St. Petersburg,Florida,Finance,Property/Casualty Insurance
MRBK,NASDAQ,US,0.182591238396717,Malvern,Pennsylvania,Finance,Regional Banks
ACKIT,NASDAQ,US,0.18223507,Claymont,Delaware,Finance,Financial Conglomerates
ATNF,NASDAQ,US,0.181995221891591,Palo Alto,California,Health Technology,Pharmaceuticals: Major
AMCI,NASDAQ,US,0.181873128991732,Greenwich,Connecticut,Finance,Financial Conglomerates
MLACU,NASDAQ,HK,0.1816640625,Hong Kong,,Finance,Financial Conglomerates
ASGI,NYSE,US,0.18161605,Philadelphia,Pennsylvania,Miscellaneous,Investment Trusts/Mutual Funds
SGAM,NASDAQ,US,0.181214932718968,New York,New York,Finance,Financial Conglomerates
FNWB,NASDAQ,US,0.180868346723935,Port Angeles,Washington,Finance,Savings Banks
GAIA,NASDAQ,US,0.18081648,Louisville,Colorado,Commercial Services,Miscellaneous Commercial Services
ESSC,NASDAQ,US,0.1805757,Burlington,Massachusetts,Finance,Financial Conglomerates
CLOE,NASDAQ,US,0.180395823999996,Miami,Florida,Finance,Financial Conglomerates
NECB,NASDAQ,US,0.179993502736749,White Plains,New York,Finance,Major Banks
SUNW,NASDAQ,US,0.179867503525961,Roseville,California,Producer Manufacturing,Electrical Products
CLOER,NASDAQ,US,0.179731207806316,Miami,Florida,Finance,Financial Conglomerates
ELEV,NASDAQ,US,0.17953418072785698,New York,New York,Health Technology,Biotechnology
FLNT,NASDAQ,US,0.179505085,New York,New York,Technology Services,Data Processing Services
SCPH,NASDAQ,US,0.17945208,Burlington,Massachusetts,Health Technology,Pharmaceuticals: Major
YSACU,NASDAQ,US,0.17933548319999998,Omaha,Nebraska,Finance,Financial Conglomerates
